feature,dtype,definition,information_timing,decision,justification
id,object,A unique LC assigned ID for the loan listing.,Administrative / identifier,Remove,Unique identifier with no meaningful credit-risk interpretation and may encourage memorisation.
member_id,float64,A unique LC assigned ID for the borrower member.,Administrative / identifier,Remove,Borrower identifier rather than an application-time risk characteristic.
loan_amnt,float64,The listed amount of the loan applied for by the borrower.,Application / origination,Keep,Requested loan amount is known when the credit decision is made.
funded_amnt,float64,The total amount committed to that loan at that point in time.,Funding / origination outcome,Remove,Represents the amount ultimately committed rather than purely borrower-provided application information; its timing relative to the intended prediction point requires consideration.
funded_amnt_inv,float64,The total amount committed by investors for that loan at that point in time.,Funding / origination outcome,Remove,Reflects investor funding activity and may not be available at the intended application-time prediction point.
term,object,"The number of payments on the loan, expressed in months.",Application / loan terms,Keep,The repayment term is established before loan performance is observed.
int_rate,float64,Interest rate on the loan.,Lender underwriting / origination,Remove,Available around origination but may already encode LendingClub's assessment of borrower risk.
installment,float64,The monthly payment owed by the borrower if the loan originates.,Lender underwriting / origination,Remove,"Known before repayment begins but is derived from loan terms including amount, term and interest rate."
grade,object,LC assigned loan grade.,Lender underwriting / origination,Remove,"Not future-outcome leakage, but it directly incorporates LendingClub's existing credit-risk assessment."
sub_grade,object,LC assigned loan subgrade.,Lender underwriting / origination,Remove,Provides a more granular LendingClub risk assessment and may therefore encode existing underwriting information.
emp_title,object,The job title supplied by the borrower when applying for the loan.,Application / borrower-provided,Remove,"Available at application time, but the variable is likely to have high cardinality, inconsistent wording and substantial missingness. Its modelling value should therefore be assessed before inclusion."
emp_length,object,"Employment length in years, with values ranging from less than one year to ten or more years.",Application / borrower-provided,Keep,Employment history is available during application and may provide information about borrower financial stability.
home_ownership,object,Home ownership status provided by the borrower during registration or obtained from the credit report.,Application / borrower-credit information,Keep,Available before the loan outcome and potentially informative of the borrower's financial circumstances.
annual_inc,float64,Self-reported annual income provided by the borrower during registration.,Application / borrower-provided,Keep,Income is available during underwriting and is directly relevant to the borrower's capacity to service debt.
verification_status,object,"Indicates whether the borrower's income was verified, source verified, or not verified by LendingClub.",Underwriting / pre-origination,Keep,Income verification status is established during underwriting and is available before subsequent repayment behaviour is observed.
issue_d,object,The month in which the loan was funded.,Origination / temporal metadata,Remove,"The funding month should not automatically be treated as a borrower risk characteristic, but it may be important for temporal cohort analysis and chronological train-test splitting."
loan_status,object,Current status of the loan.,Outcome / target,Target,This variable is used to construct the binary outcome (Fully Paid versus Charged Off) and must never be included among the predictor variables.
pymnt_plan,object,Indicates whether a payment plan has been put in place for the loan.,Potentially post-origination / servicing,Remove,"The timing and meaning of the payment-plan indicator require verification. If it reflects a servicing arrangement created after origination, it must be excluded as leakage."
url,object,URL for the LendingClub page containing data associated with the loan.,Administrative / identifier,Remove,The URL is administrative metadata and does not represent a legitimate borrower credit-risk characteristic.
desc,object,Loan description provided by the borrower.,Application / borrower-provided text,Keep,The description is available during the application process and is the primary unstructured text variable required for the TF-IDF and BERT components of this research.
purpose,object,A category provided by the borrower for the loan request.,Application / borrower-provided,Keep,Loan purpose is known during application and may contain information relevant to credit risk.
title,object,The loan title provided by the borrower.,Application / borrower-provided text,Remove,"Available at application, but it may overlap substantially with purpose and the borrower description. Its incremental predictive value should be assessed before inclusion."
zip_code,object,The first three numbers of the zip code provided by the borrower in the loan application.,Application / geographic,Remove,"Available at application but introduces geographic information that may create high cardinality, proxy effects, and limited generalisability."
addr_state,object,The state provided by the borrower in the loan application.,Application / geographic,Remove,"Available at application, but geographic information requires justification because it may capture regional effects rather than borrower-specific creditworthiness."
dti,float64,Ratio of the borrower's total monthly debt payments to monthly income.,Application / financial,Keep,Debt-to-income ratio is available during underwriting and directly represents the borrower's existing debt burden relative to income.
delinq_2yrs,float64,Number of 30+ days past-due incidences of delinquency in the borrower's credit file during the past two years.,Pre-origination / credit bureau,Keep,Represents historical credit behaviour observable before the new loan outcome.
earliest_cr_line,object,Month in which the borrower's earliest reported credit line was opened.,Pre-origination / credit bureau,Keep,Available from the credit file before origination and can be transformed into credit-history length.
fico_range_low,float64,Lower boundary of the borrower's FICO score range at loan origination.,Pre-origination / credit bureau,Keep,Represents credit-risk information available at or around underwriting before subsequent repayment behaviour occurs.
fico_range_high,float64,Upper boundary of the borrower's FICO score range at loan origination.,Pre-origination / credit bureau,Keep,Represents credit-risk information available at or around underwriting before subsequent repayment behaviour occurs.
